Ambon;1.281.625;-36.957
Banda Aceh;953.213;55.527
Bandar Lampung;1.052.663;-54.287
Bandung;1.076.008;-69.201
Banjarmasin;1.145.891;-33.159
Bengkulu;1.022.635;-37.929
Denpasar;1.152.095;-86.551
Jakarta;1.068.317;-61.570
Jambi;1.036.012;-15.969
Jayapura;1.407.680;-26.544
Kendari;1.225.499;-39.630
Kupang;1.235.836;-101.679
Mataram;1.161.391;-85.833
Medan;986.775;35.899
Menado;1.248.383;14.829
Padang;1.003.588;-0.9456
Palangkaraya;1.139.131;-21.960
Palembang;1.047.537;-29.954
Palu;1.198.636;-0.8946
Pekanbaru;1.014.482;0.5380
Pontianak;1.093.315;-0.0280
Samarinda;1.171.394;-0.4968
Semarang;1.104.253;-69.777
Surabaya;1.127.373;-72.709
Ujung Pandang;1.194.085;-51.298
Yogyakarta;1.103.785;-77.898
Tapaktuan;971.807;32.583
Kutacane;978.139;34.852
Meulaboh;961.236;41.430
Langsa;979.622;44.680
Takengon;968.446;46.203
Lhokseumawe;971.498;51.797
Sigli;959.612;53.852
Gianyar;1.153.270;-85.423
Tambanan;1.151.248;-85.384
Klungkung;1.153.964;-85.361
Bangli;1.153.518;-84.546
Amlapura;1.155.993;-84.442
Negara;1.146.213;-83.589
Singaraja;1.150.869;-81.124
Mainna;1.029.063;-44.703
Curup;1.025.231;-34.643
Merauke;1.403.752;-84.972
Wamena;1.388.972;-40.099
Fak-Fak;1.323.049;-29.311
Sarmi;1.387.494;-18.546
Serui;1.362.474;-18.827
Waigema;1.298.197;-18.225
Ransiki;1.341.706;-15.036
Biak;1.360.747;-11.841
Korem;1.360.391;-0.8999
Sorong;1.312.497;-0.8713
Manokwari;1.340.738;-0.8522
Yenggarbun;1.356.233;-0.6773
Tasikmalaya;1.082.214;-73.268
Ciamis;1.083.509;-73.283
Garut;1.078.996;-72.284
Kuningan;1.084.780;-69.795
Sukabumi;1.069.213;-69.214
Sumedang;1.079.214;-68.522
Majalengka;1.082.249;-68.336
Cianjur;1.071.356;-68.004
Cirebon;1.085.521;-67.191
Bogor;1.068.011;-65.859
Subang;1.077.699;-65.562
Purwakarta;1.074.388;-65.418
Rangkasbitung;1.062.668;-63.604
Pandeglang;1.061.075;-63.168
Indramayu;1.083.216;-63.304
Karawang;1.073.002;-62.938
Bekasi;1.070.111;-62.455
Tangerang;1.066.214;-61.766
Serang;1.061.526;-61.170
Sungai Penuh;1.013.966;-20.656
Ranjaupanjang;1.023.093;-18.557
Muaratembesi;1.031.056;-17.230
Muara Bungo;1.021.272;-14.883
Kualatungkal;1.034.680;-0.8160
Wonogiri;1.109.218;-78.174
Cilacap;1.090.042;-77.211
Purworejo;1.100.062;-77.126
Klaten;1.106.018;-77.059
Kebumen;1.096.662;-76.753
Sukoharjo;1.108.374;-76.891
Karanganyar;1.109.399;-75.986
Surakarta;1.108.120;-75.622
Boyolali;1.105.973;-75.321
Banyumas;1.092.898;-75.097
Magelang;1.102.215;-74.910
Purwokerto;1.092.273;-74.172
Sragen;1.110.212;-74.330
Banjarnegara;1.096.970;-73.998
Purbolinggo;1.093.604;-73.861
Wonosobo;1.099.014;-73.606
